quote_id,group_id,page_id,page_title,page_link,page_date,text,character_id,character_name,character_category
58,24,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: hey so what sort of insane loot did you rake in today</span>",3,Dave,Beta Kids
60,26,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: oh hell that is such a coincidence i just found an unopened container of apple juice in my closet it is like fucking christmas up in here</span>",3,Dave,Beta Kids
62,28,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: but </span>",3,Dave,Beta Kids
63,28,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: the seal on the bottle is unbroken</span>",3,Dave,Beta Kids
64,28,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: are you suggesting someone put piss in my apple juice at the factory</span>",3,Dave,Beta Kids
67,30,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: why did the fat kid or whoever drank it know what piss tasted like</span>",3,Dave,Beta Kids
68,30,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: i mean his reaction was nigh instantaneous</span>",3,Dave,Beta Kids
70,32,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: ok i can accept that </span>",3,Dave,Beta Kids
71,32,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: monster B-list celebrity douchebags are cunning and persistent pranksters</span>",3,Dave,Beta Kids
72,32,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: also fred savage has a really punchable face</span>",3,Dave,Beta Kids
73,32,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: but who cares about this lets stop talking about it</span>",3,Dave,Beta Kids
74,32,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: did you get the beta yet</span>",3,Dave,Beta Kids
77,34,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: man i got two copies already</span>",3,Dave,Beta Kids
78,34,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: but i dont care im not going to play it or anything the game sounds boring</span>",3,Dave,Beta Kids
79,34,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: did you see how it got slammed in game bro????</span>",3,Dave,Beta Kids
81,36,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: yeah</span>",3,Dave,Beta Kids
82,36,26,John: Open message.,?s=6&p=001926,2009-04-15,"<span style=""color: #e00707"">TG: why dont you go check your mail maybe its there now</span>",3,Dave,Beta Kids
105,47,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: is it there</span>",3,Dave,Beta Kids
106,47,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: plz say yes</span>",3,Dave,Beta Kids
107,47,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: maybe you can play with TT shes been pestering me all day about it</span>",3,Dave,Beta Kids
108,47,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: shes mackin on me so hard all the time i start to feel embarrassed for her</span>",3,Dave,Beta Kids
109,47,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: i mean not that i can blame her or anything</span>",3,Dave,Beta Kids
111,49,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: thank you</span>",3,Dave,Beta Kids
117,51,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: whats your modus</span>",3,Dave,Beta Kids
119,53,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: how do you retrieve artifacts from it</span>",3,Dave,Beta Kids
121,55,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: stack?? hahahahahaha</span>",3,Dave,Beta Kids
123,57,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: hash map</span>",3,Dave,Beta Kids
124,57,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: my bro taught me a few tricks he basically knows everything and is awesome</span>",3,Dave,Beta Kids
126,59,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: you should probably brush up on your data structures</span>",3,Dave,Beta Kids
128,61,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: did you at least allocate your strife specibus</span>",3,Dave,Beta Kids
130,63,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: it could free up a card for you</span>",3,Dave,Beta Kids
131,63,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: plus let you attack stuff whenever things get too hot to handle</span>",3,Dave,Beta Kids
132,63,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: which is never</span>",3,Dave,Beta Kids
133,63,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: what have you got</span>",3,Dave,Beta Kids
135,65,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: wow you really suck at this dont you</span>",3,Dave,Beta Kids
136,65,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: just get rid of the arms and then allocate the hammer to the specibus</span>",3,Dave,Beta Kids
138,67,35,John: Answer chum.,?s=6&p=001935,2009-04-16,"<span style=""color: #e00707"">TG: i dont know just use the arms on any old thing and see if it works</span>",3,Dave,Beta Kids
146,73,39,John: Report progress to TG.,?s=6&p=001939,2009-04-16,"<span style=""color: #e00707"">TG: hammerkind?</span>",3,Dave,Beta Kids
148,75,39,John: Report progress to TG.,?s=6&p=001939,2009-04-16,"<span style=""color: #e00707"">TG: ok that will be the permanent allocation for your specibus</span>",3,Dave,Beta Kids
149,75,39,John: Report progress to TG.,?s=6&p=001939,2009-04-16,"<span style=""color: #e00707"">TG: i guess i should have mentioned that</span>",3,Dave,Beta Kids
151,77,39,John: Report progress to TG.,?s=6&p=001939,2009-04-16,"<span style=""color: #e00707"">TG: hope you like hammers dude!</span>",3,Dave,Beta Kids
303,152,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: hey GG is looking for you why are you even so popular all of a sudden</span>",3,Dave,Beta Kids
304,152,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: is today some sort of special occasion or something</span>",3,Dave,Beta Kids
305,152,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: did you do something to curry favor with ladies</span>",3,Dave,Beta Kids
306,152,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: did you break your leg on a puppy or some shit</span>",3,Dave,Beta Kids
307,152,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: dude what are you doing</span>",3,Dave,Beta Kids
310,154,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: no stop</span>",3,Dave,Beta Kids
311,154,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: just no</span>",3,Dave,Beta Kids
312,154,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: dont talk about your awful stupid movies or make references to them</span>",3,Dave,Beta Kids
313,154,110,[S] John: Check Pesterchum.,?s=6&p=002010,2009-05-03,"<span style=""color: #e00707"">TG: your gross man-bro crush on matt macconahay is an unsavory thing to behold </span>",3,Dave,Beta Kids
